Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,C15850
"C10, C6, C7, C9",0402,4,4.7u,C368809
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C20, C21, C8",0402,12,100n,C16193311
"C3, C4",0402,2,15p,C307341
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,SM03B-SRSS-TB,C160403
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
L1,L_pol_2016,1,3.3u,C42411119
R1,0402,1,10k,C25744
"R12, R5",0805,2,5k1,C84375
"R2, R4, R6",0402,3,1k,C11702
R3,0402,1,33,C25105
"R7, R8",0402,2,27,C138021
R9,0402,1,0,C17168
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,C115360
U1,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,C39843328
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U5,SOT-23-6,1,USBLC6-2SC6,C2827654
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
